Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0960731,2022-12-29,2022-12-29,,Bedtime Stories,https://www.imdb.com/title/tt0960731/,movie,6.0,99,2008,"Adventure, Comedy, Family, Fantasy, Romance, Sci-Fi",96720,2008-12-24,Adam Shankman,,
2,tt0099699,2022-12-29,2022-12-29,,Green Card,https://www.imdb.com/title/tt0099699/,movie,6.3,107,1990,"Comedy, Drama, Romance",24906,1990-12-23,Peter Weir,,
3,tt0119081,2022-12-30,2022-12-30,,Event Horizon,https://www.imdb.com/title/tt0119081/,movie,6.6,96,1997,"Horror, Sci-Fi, Thriller",183979,1997-08-15,Paul W.S. Anderson,,
4,tt0087332,2022-12-30,2022-12-30,,Ghostbusters,https://www.imdb.com/title/tt0087332/,movie,7.8,105,1984,"Action, Comedy, Fantasy, Sci-Fi",419716,1984-06-07,Ivan Reitman,,
5,tt0116329,2022-12-30,2022-12-30,,Fly Away Home,https://www.imdb.com/title/tt0116329/,movie,6.9,107,1996,"Adventure, Drama, Family",26001,1996-09-05,Carroll Ballard,,
6,tt0182789,2022-12-30,2022-12-30,,Bicentennial Man,https://www.imdb.com/title/tt0182789/,movie,6.9,132,1999,"Drama, Sci-Fi",119153,1999-12-13,Chris Columbus,,
7,tt0075860,2022-12-30,2022-12-30,,Close Encounters of the Third Kind,https://www.imdb.com/title/tt0075860/,movie,7.6,138,1977,"Drama, Sci-Fi",204663,1977-11-15,Steven Spielberg,,
8,tt0183505,2022-12-30,2022-12-30,,"Me, Myself & Irene",https://www.imdb.com/title/tt0183505/,movie,6.6,116,2000,Comedy,240477,2000-06-15,"Peter Farrelly, Bobby Farrelly",,
9,tt0437800,2022-12-30,2022-12-30,,Akeelah and the Bee,https://www.imdb.com/title/tt0437800/,movie,7.4,112,2006,"Drama, Family",20483,2006-03-16,Doug Atchison,,
10,tt0110527,2022-12-30,2022-12-30,,Miracle on 34th Street,https://www.imdb.com/title/tt0110527/,movie,6.6,114,1994,"Drama, Family, Fantasy",39981,1994-11-15,Les Mayfield,,
11,tt0102057,2022-12-30,2022-12-30,,Hook,https://www.imdb.com/title/tt0102057/,movie,6.8,142,1991,"Adventure, Comedy, Family, Fantasy",258316,1991-12-08,Steven Spielberg,,
12,tt0142342,2022-12-30,2022-12-30,,Big Daddy,https://www.imdb.com/title/tt0142342/,movie,6.4,93,1999,"Comedy, Drama",220986,1999-06-17,Dennis Dugan,,
13,tt0349205,2022-12-30,2022-12-30,,Cheaper by the Dozen,https://www.imdb.com/title/tt0349205/,movie,5.9,98,2003,"Comedy, Family",103816,2003-11-22,Shawn Levy,,
